10000	0.001814
12000	0.002377
14000	0.003184
16000	0.004022
18000	0.004764
20000	0.00585
22000	0.007494
24000	0.009524
26000	0.009244
28000	0.010465
30000	0.012322
32000	0.013563
34000	0.014716
36000	0.016773
38000	0.017658
40000	0.019813
42000	0.021156
44000	0.023536
46000	0.025344
48000	0.027514
50000	0.030187
52000	0.032157
54000	0.034974
56000	0.036248
58000	0.039528
60000	0.042203
62000	0.04605
64000	0.048152
66000	0.051099
68000	0.053742
70000	0.05611
72000	0.05988
74000	0.062336
76000	0.065879
78000	0.069197
80000	0.073099
82000	0.075714
84000	0.080199
86000	0.083139
88000	0.087111
90000	0.08991
92000	0.094677
94000	0.097896
96000	0.102893
98000	0.107713
